'it	V;NFIN	'it
'it	V;PRS;NOM-3;NOM-SG	'its
'it	V;PST	'it
'it	V;V.PTCP;PRS	'ittin'
'it	V;V.PTCP;PST	'it
'phone	V;NFIN	'phone
'phone	V;PRS;NOM-3;NOM-SG	'phones
'phone	V;V.PTCP;PRS	'phoning
'phone	V;V.PTCP;PST	'phoned
Africanize	V;NFIN	Africanize
Africanize	V;PST	Africanized
Borg	V;NFIN	Borg
Borg	V;PRS;NOM-3;NOM-SG	Borgs
Borg	V;PST	Borged
Borg	V;V.PTCP;PRS	Borging
Buddhize	V;V.PTCP;PRS	Buddhizing
C-spine	V;NFIN	C-spine
C-spine	V;PST	C-spined
C-spine	V;V.PTCP;PRS	C-spining
C-spine	V;V.PTCP;PST	C-spined
Calvinise	V;NFIN	Calvinise
Calvinise	V;PRS;NOM-3;NOM-SG	Calvinises
Calvinise	V;V.PTCP;PST	Calvinised
Darwinize	V;NFIN	Darwinize
Darwinize	V;PRS;NOM-3;NOM-SG	Darwinizes
Darwinize	V;PST	Darwinized
Darwinize	V;V.PTCP;PST	Darwinized
Edenize	V;NFIN	Edenize
Edenize	V;PRS;NOM-3;NOM-SG	Edenizes
Edenize	V;PST	Edenized
Edenize	V;V.PTCP;PST	Edenized
English	V;PRS;NOM-3;NOM-SG	Englishes
English	V;PST	Englished
English	V;V.PTCP;PRS	Englishing
English	V;V.PTCP;PST	Englished
FIF	V;NFIN	FIF
FIF	V;PRS;NOM-3;NOM-SG	FIFs
FIF	V;PST	FIFed
FIF	V;V.PTCP;PRS	FIFing
FIF	V;V.PTCP;PST	FIFed
Google	V;NFIN	Google
Google	V;PST	Googled
Google	V;V.PTCP;PRS	Googling
Google	V;V.PTCP;PST	Googled
Hawaiianize	V;NFIN	Hawaiianize
Hawaiianize	V;PST	Hawaiianized
Hawaiianize	V;V.PTCP;PRS	Hawaiianizing
Hawaiianize	V;V.PTCP;PST	Hawaiianized
Lazarus	V;PRS;NOM-3;NOM-SG	Lazaruses
Lazarus	V;PST	Lazarused
Lazarus	V;V.PTCP;PRS	Lazarusing
Lazarus	V;V.PTCP;PST	Lazarused
LoC	V;NFIN	LoC
LoC	V;PRS;NOM-3;NOM-SG	LoCs
LoC	V;PST	loCced
LoC	V;V.PTCP;PRS	loCcing
LoC	V;V.PTCP;PST	loCced
Mediterraneanise	V;NFIN	Mediterraneanise
Mediterraneanise	V;PRS;NOM-3;NOM-SG	Mediterraneanises
Mediterraneanise	V;PST	Mediterraneanised
Mediterraneanise	V;V.PTCP;PRS	Mediterraneanising
Mediterraneanise	V;V.PTCP;PST	Mediterraneanised
Mondayize	V;NFIN	Mondayize
Mondayize	V;PRS;NOM-3;NOM-SG	Mondayizes
Mondayize	V;V.PTCP;PRS	Mondayizing
Mondayize	V;V.PTCP;PST	Mondayized
Mormonize	V;NFIN	Mormonize
Mormonize	V;PRS;NOM-3;NOM-SG	Mormonizes
Mormonize	V;V.PTCP;PRS	Mormonizing
Sanskritise	V;NFIN	Sanskritise
Sanskritise	V;PRS;NOM-3;NOM-SG	Sanskritises
Sanskritise	V;PST	Sanskritised
Sanskritise	V;V.PTCP;PRS	Sanskritising
Sanskritise	V;V.PTCP;PST	Sanskritised
Snopes	V;V.PTCP;PRS	Snopesing
Snopes	V;V.PTCP;PST	Snopesed
Timonise	V;NFIN	Timonise
Timonise	V;PRS;NOM-3;NOM-SG	Timonises
Timonise	V;PST	Timonised
Timonise	V;V.PTCP;PRS	Timonising
Timonise	V;V.PTCP;PST	Timonised
Turkify	V;NFIN	Turkify
Turkify	V;PRS;NOM-3;NOM-SG	Turkifies
Turkify	V;PST	Turkified
Turkify	V;V.PTCP;PST	Turkified
Velcro	V;NFIN	Velcro
Velcro	V;PRS;NOM-3;NOM-SG	Velcros
Velcro	V;PST	Velcroed
Velcro	V;V.PTCP;PRS	Velcroing
Velcro	V;V.PTCP;PST	Velcroed
Wikipedia	V;PRS;NOM-3;NOM-SG	Wikipedias
Wikipedia	V;PST	Wikipediaed
Wikipedia	V;V.PTCP;PRS	Wikipediaing
Wikipedia	V;V.PTCP;PST	Wikipediaed
XOR	V;NFIN	XOR
XOR	V;PRS;NOM-3;NOM-SG	XORs
XOR	V;PST	XORed
XOR	V;V.PTCP;PRS	XORing
XOR	V;V.PTCP;PST	XORed
