deasphalt	V;PRS;NOM-3;NOM-SG	deasphalts
underman	V;V.PTCP;PRS	undermanned
bet	V;PRS;NOM-3;NOM-SG	bets
gyve	V;V.PTCP;PRS	gyving
corporealise	V;V.PTCP;PRS	corporealising
shudder	V;PRS;NOM-3;NOM-SG	shudders
relax	V;PRS;NOM-3;NOM-SG	relaxes
roin	V;PRS;NOM-3;NOM-SG	roins
parachute	V;PST	parachuted
faceplant	V;NFIN	faceplant
cere	V;V.PTCP;PRS	cering
sedentarize	V;PRS;NOM-3;NOM-SG	sedentarizes
arcticize	V;V.PTCP;PST	arcticized
peripheralize	V;V.PTCP;PRS	peripheralizing
rechain	V;PST	rechained
wringle-wrangle	V;V.PTCP;PST	wringle-wrangled
English	V;V.PTCP;PST	Englished
regress	V;V.PTCP;PST	regressed
humble	V;PST	humbled
forhunger	V;V.PTCP;PST	forhungered
urbanise	V;V.PTCP;PST	urbanised
clock	V;PRS;NOM-3;NOM-SG	clocks
mace	V;V.PTCP;PST	maced
astony	V;NFIN	astony
anagram	V;NFIN	anagram
antioxidize	V;NFIN	antioxidize
thee	V;PST	theed
accommodate	V;PRS;NOM-3;NOM-SG	accommodates
parody	V;V.PTCP;PST	parodied
fiddlefart	V;NFIN	fiddlefart
quicksave	V;V.PTCP;PST	quicksaved
assaile	V;PRS;NOM-3;NOM-SG	assailes
supercool	V;NFIN	supercool
fook	V;V.PTCP;PST	fooked
recut	V;PST	recut
side-foot	V;V.PTCP;PRS	side-footing
transpare	V;PRS;NOM-3;NOM-SG	transpares
fountain	V;V.PTCP;PST	fountained
nodulate	V;V.PTCP;PRS	nodulating
forthdraw	V;PRS;NOM-3;NOM-SG	forthdraws
flash	V;PST	flashed
respect	V;V.PTCP;PST	respected
intensify	V;V.PTCP;PST	intensified
ammo	V;PRS;NOM-3;NOM-SG	ammos
protocolize	V;V.PTCP;PRS	protocolizing
tweedle	V;V.PTCP;PST	tweedled
circummure	V;PRS;NOM-3;NOM-SG	circummures
embolden	V;V.PTCP;PST	emboldened
itinerate	V;NFIN	itinerate
counteroffer	V;NFIN	counteroffer
misregard	V;PRS;NOM-3;NOM-SG	misregards
slabber	V;PST	slabbered
soap	V;PRS;NOM-3;NOM-SG	soaps
emulsify	V;V.PTCP;PST	emulsified
killfile	V;V.PTCP;PRS	killfiling
ingrain	V;PRS;NOM-3;NOM-SG	ingrains
upgaze	V;NFIN	upgaze
skilder	V;PST	skildered
snarfle	V;V.PTCP;PRS	snarfling
photoacclimate	V;V.PTCP;PRS	photoacclimating
uproot	V;PST	uprooted
autograft	V;NFIN	autograft
scald	V;NFIN	scald
gel	V;PST	gelled
postulate	V;V.PTCP;PST	postulated
promo	V;NFIN	promo
ditch	V;PRS;NOM-3;NOM-SG	ditches
overcriticize	V;V.PTCP;PRS	overcriticizing
toshake	V;NFIN	toshake
overshape	V;PRS;NOM-3;NOM-SG	overshapes
caddy	V;PST	caddied
redirect	V;PRS;NOM-3;NOM-SG	redirects
solemnify	V;NFIN	solemnify
come	V;PRS;NOM-3;NOM-SG	comes
discerp	V;V.PTCP;PRS	discerping
stonify	V;PST	stonified
photoacclimate	V;PST	photoacclimated
overlap	V;V.PTCP;PST	overlapped
self-injure	V;V.PTCP;PST	self-injured
assecure	V;PRS;NOM-3;NOM-SG	assecures
rightsize	V;NFIN	rightsize
becast	V;NFIN	becast
legitimatize	V;PRS;NOM-3;NOM-SG	legitimatizes
variate	V;PST	variated
unmatch	V;NFIN	unmatch
photoinject	V;V.PTCP;PRS	photoinjecting
display	V;V.PTCP;PRS	displaying
dishonour	V;V.PTCP;PST	dishonoured
slide	V;V.PTCP;PST	slid
forepay	V;V.PTCP;PST	forepaid
addulce	V;NFIN	addulce
envermeil	V;V.PTCP;PRS	envermeiling
temporalise	V;V.PTCP;PST	temporalised
torve	V;PST	torved
fortravel	V;PRS;NOM-3;NOM-SG	fortravels
potentize	V;V.PTCP;PRS	potentizing
spokeshave	V;V.PTCP;PRS	spokeshaving
newfront	V;PST	newfronted
unmake	V;PST	unmade
omnify	V;PST	omnified
resoun	V;PRS;NOM-3;NOM-SG	resouns
illuminize	V;PST	illuminized
toruffle	V;NFIN	toruffle
yarn	V;PST	yarned
Wikipedia	V;V.PTCP;PST	Wikipediaed
patriate	V;PRS;NOM-3;NOM-SG	patriates
spittle	V;V.PTCP;PRS	spittling
cumshaw	V;V.PTCP;PST	cumshawed
steem	V;PRS;NOM-3;NOM-SG	steems
unburden	V;V.PTCP;PRS	unburdening
exeunt	V;V.PTCP;PST	exeunted
rattoon	V;V.PTCP;PRS	rattooning
benumb	V;PST	benumbed
scarify	V;PRS;NOM-3;NOM-SG	scarifies
overborrow	V;PRS;NOM-3;NOM-SG	overborrows
underpitch	V;PST	underpitched
trindle	V;V.PTCP;PRS	trindling
envowel	V;V.PTCP;PST	envowelled
smoor	V;V.PTCP;PRS	smooring
productize	V;PRS;NOM-3;NOM-SG	productizes
scrutinize	V;PRS;NOM-3;NOM-SG	scrutinizes
outcharm	V;NFIN	outcharm
promo	V;PRS;NOM-3;NOM-SG	promos
noon	V;PRS;NOM-3;NOM-SG	noons
Darwinize	V;PST	Darwinized
telecommute	V;V.PTCP;PRS	telecommuting
tend	V;V.PTCP;PST	tended
misinstruct	V;PRS;NOM-3;NOM-SG	misinstructs
resand	V;PRS;NOM-3;NOM-SG	resands
waterfall	V;PRS;NOM-3;NOM-SG	waterfalls
architect	V;PRS;NOM-3;NOM-SG	architects
forscald	V;PST	forscalded
downsize	V;V.PTCP;PRS	downsizing
tramble	V;PST	trambled
untongue	V;NFIN	untongue
earn	V;PST	earned
casevac	V;PRS;NOM-3;NOM-SG	casevacs
trampoline	V;PST	trampolined
halal	V;PST	halaled
aurify	V;V.PTCP;PST	aurified
blather	V;V.PTCP;PST	blathered
buccaneer	V;V.PTCP;PRS	buccaneering
aggroup	V;PRS;NOM-3;NOM-SG	aggroups
reperforate	V;V.PTCP;PRS	reperforating
aestuate	V;PRS;NOM-3;NOM-SG	aestuates
infant	V;NFIN	infant
goosestep	V;NFIN	goosestep
idolize	V;NFIN	idolize
compassion	V;V.PTCP;PST	compassioned
emaculate	V;PST	emaculated
nickname	V;V.PTCP;PST	nicknamed
interblend	V;V.PTCP;PST	interblent
blackhole	V;NFIN	blackhole
dishaunt	V;PST	dishaunted
digladiate	V;V.PTCP;PST	digladiated
halal	V;NFIN	halal
superconduct	V;NFIN	superconduct
disheir	V;V.PTCP;PRS	disheiring
impassion	V;PST	impassioned
ionise	V;PRS;NOM-3;NOM-SG	ionises
repressurise	V;PRS;NOM-3;NOM-SG	repressurises
mesh	V;PST	meshed
silken	V;PRS;NOM-3;NOM-SG	silkens
route	V;NFIN	route
consolidate	V;NFIN	consolidate
angel	V;NFIN	angel
liquify	V;NFIN	liquify
peercast	V;NFIN	peercast
naturalise	V;V.PTCP;PST	naturalised
queef	V;PST	queefed
emphasize	V;NFIN	emphasize
hardwire	V;V.PTCP;PST	hardwired
communifake	V;PST	communifaked
guffaw	V;V.PTCP;PST	guffawed
spawn	V;NFIN	spawn
exulcerate	V;V.PTCP;PRS	exulcerating
witticise	V;PST	witticised
recapitalise	V;PRS;NOM-3;NOM-SG	recapitalises
ambuscade	V;PST	ambuscaded
foregrasp	V;PRS;NOM-3;NOM-SG	foregrasps
aguise	V;PST	aguised
piqueer	V;NFIN	piqueer
demetallize	V;V.PTCP;PRS	demetallizing
autoregulate	V;PRS;NOM-3;NOM-SG	autoregulates
direct	V;NFIN	direct
reguard	V;V.PTCP;PRS	reguarding
snoozle	V;V.PTCP;PST	snoozling
rawk	V;V.PTCP;PST	rawked
tinkle	V;NFIN	tinkle
flummox	V;V.PTCP;PST	flummoxed
squir	V;PRS;NOM-3;NOM-SG	squirs
remit	V;NFIN	remit
force-feed	V;V.PTCP;PRS	force-feeding
submodify	V;V.PTCP;PRS	submodifying
astony	V;PRS;NOM-3;NOM-SG	astonies
pierce	V;V.PTCP;PST	pierced
unhide	V;PST	unhid
meld	V;PRS;NOM-3;NOM-SG	melds
ravish	V;PRS;NOM-3;NOM-SG	ravishes
berm	V;V.PTCP;PRS	berming
jeopardize	V;PRS;NOM-3;NOM-SG	jeopardizes
cross-foster	V;PRS;NOM-3;NOM-SG	cross-fosters
fantasy	V;NFIN	fantasy
befie	V;NFIN	befie
lap	V;NFIN	lap
bleb	V;V.PTCP;PRS	blebbing
bonnet	V;PRS;NOM-3;NOM-SG	bonnets
libate	V;PST	libated
jasperize	V;V.PTCP;PST	jasperized
devvel	V;PST	devvelled
uncork	V;V.PTCP;PST	uncorked
gravitate	V;V.PTCP;PST	gravitated
custom	V;PST	customed
abvolate	V;V.PTCP;PST	abvolated
unbrace	V;PRS;NOM-3;NOM-SG	unbraces
backstab	V;PRS;NOM-3;NOM-SG	backstabs
upzone	V;NFIN	upzone
fingertip	V;V.PTCP;PRS	fingertipping
underpot	V;V.PTCP;PRS	underpotting
restrain	V;PST	restrained
dissocialize	V;V.PTCP;PRS	dissocializing
soliloquise	V;V.PTCP;PST	soliloquised
backcomb	V;V.PTCP;PST	backcombed
pamp	V;PRS;NOM-3;NOM-SG	pamps
epoxidize	V;NFIN	epoxidize
normalize	V;V.PTCP;PRS	normalizing
chivvy	V;V.PTCP;PST	chivvied
exhibit	V;V.PTCP;PST	exhibited
unerase	V;V.PTCP;PST	unerased
rechamber	V;PST	rechambered
valet	V;V.PTCP;PRS	valeting
engulph	V;V.PTCP;PST	engulphed
shmear	V;PST	shmeared
coalesce	V;V.PTCP;PST	coalesced
perispome	V;V.PTCP;PRS	perispoming
island-hop	V;PRS;NOM-3;NOM-SG	island-hops
smirch	V;PRS;NOM-3;NOM-SG	smirches
