jaella	V.PTCP;PASS;PST	jaeltu
valkokuonovalas	N;ACC-PL	valkokuonovalaat
eriuskoinen	ADJ;PRT-SG	eriuskoista
lisuke	N;NOM-PL	lisukkeet
ilmeetön	ADJ;INS-PL	ilmeettömin
suuttua	V;ACT;PRS;PRF;POS;POT;NOM-2;NOM-PL	lienette suuttuneet
sanatarkka	ADJ;IN+ALL-SG	sanatarkkaan
sinirapu	N;PSS-3	sinirapunsa
pleonastinen	ADJ;IN+ALL-SG	pleonastiseen
kuivahtaa	V.PTCP;ACT;PRS	kuivahtava
herahtaa	V;ACT;PRS;POS;POT;NOM-2;NOM-SG	herahtanet
suka	N;PRT-PL	sukoja
asfalttipäällysteinen	ADJ;PSS-2;PSS-PL	asfalttipäällysteisenne
psykomotorinen	ADJ;PSS-2;PSS-PL	psykomotorisenne
ruoste	N;TRANS-PL	ruosteiksi
äyri	N;AT+ALL-PL	äyreille
-vuotinen	ADJ;COM-PL	-vuotisine
salattu	ADJ;PSS-3	salattunsa
luonteenomainen	ADJ;PRT-PL	luonteenomaisia
käskettää	V;PASS;PRS;PRF;POS;IMP	olkoon käsketetty
vitsoa	V;NFIN;ACT;NOM-1	vitsoakseen
huijata	V;ACT;PST;POS;IND;NOM-3;NOM-PL	huijasivat
nesessiivinen	ADJ;TRANS-SG	nesessiiviseksi
assyriologinen	ADJ;AT+ESS-PL	assyriologisilla
ansiokas	ADJ;ACC-PL	ansiokkaat
antelias	ADJ;TRANS-SG	anteliaaksi
turhantärkeä	ADJ;IN+ESS-SG	turhantärkeässä
Texas	N;PRT-SG	Texasia
pohjoismaalainen	ADJ;FRML-SG	pohjoismaalaisena
kuortanelainen	ADJ;AT+ALL-SG	kuortanelaiselle
rikostutkija	N;AT+ALL-SG	rikostutkijalle
assamilainen	ADJ;AT+ESS-PL	assamilaisilla
tiputella	V;ACT;PST;POS;IND;NOM-3;NOM-PL	tiputtelivat
kuulla	V;ACT;PRS;PRF;POS;POT;NOM-1;NOM-SG	lienen kuullut
rämähtää	V;ACT;PRS;NEG;IND;NOM-3;NOM-PL	eivät rämähdä
suuttua	V;ACT;PST;PRF;NEG;IND;NOM-3;NOM-SG	ei ollut suuttunut
uida	V;NFIN;4;ACT;NOM	uiminen
laaduton	ADJ;NOM-PL	laaduttomat
pahanmakuinen	ADJ;TRANS-PL	pahanmakuisiksi
kääntymätön	ADJ;FRML-PL	kääntymättöminä
kurttuinen	ADJ;PRIV-PL	kurttuisitta
selkävammainen	ADJ;PSS-3	selkävammaisensa
matoinen	ADJ;IN+ALL-SG	matoiseen
anksiolyyttinen	ADJ;IN+ALL-PL	anksiolyyttisiin
remeli	N;GEN-PL	remelien
upokas	N;TRANS-PL	upokkaiksi
hipoa	V;ACT;PRS;POS;IMP;NOM-3;NOM-PL	hipokoot
kinnernivel	N;TRANS-PL	kinnerniveliksi
merkittävä	ADJ;PRIV-SG	merkittävättä
iltalukio	N;IN+ESS-PL	iltalukioissa
omnipresentti	ADJ;PRIV-PL	omnipresenteittä
syntesoitua	V;NFIN;ACT;INS;NOM-2	syntesoituen
taala	N;GEN-PL	taalojen
kolkutella	V;ACT;PRS;POS;POT;NOM-2;NOM-PL	kolkutellette
murehduttaa	V;ACT;PRS;NEG;IMP;NOM-1;NOM-PL	älkäämme murehduttako
makrotaloudellinen	ADJ;ACC-PL	makrotaloudelliset
vinyyli	N;NOM-SG	vinyyli
synkronoida	V;PASS;PRS;PRF;POS;IMP	olkoon synkronoitu
säilyte	N;PRT-PL	säilytteitä
pulloposki	N;AT+ABL-SG	pulloposkelta
virheravittu	ADJ;IN+ESS-PL	virheravituissa
ataraktinen	ADJ;PRIV-SG	ataraktisetta
solkata	V;PASS;PRS;PRF;POS;POT	lienee solkattu
lasitaide	N;PSS-1;PSS-PL	lasitaiteemme
pyykinpesukone	N;TRANS-PL	pyykinpesukoneiksi
reisjärvinen	ADJ;AT+ESS-PL	reisjärvisillä
kertymä	N;PRT-PL	kertymiä
peruskartta	N;IN+ALL-SG	peruskarttaan
tärisyttää	V;ACT;PRS;NEG;COND;NOM-2;NOM-PL	ette tärisyttäisi
pitkä	ADJ;FRML-SG	pitkänä
hansa	N;NOM-SG	hansa
rämähtää	V;NFIN;ACT;AT+ESS;NOM-3	rämähtämällä
taala	N;PRT-SG	taalaa
hygieenisin	ADJ;FRML-SG	hygieenisimpänä
karstata	V;ACT;PST;PRF;POS;IND;NOM-3;NOM-SG	oli karstannut
teollisuudenharjoittaja	N;NOM-PL	teollisuudenharjoittajat
pulloposki	N;AT+ABL-PL	pulloposkilta
piikivi	N;NOM-SG	piikivi
sukia	V;NFIN;ACT;INS;NOM-3	sukiman
assamilainen	ADJ;IN+ESS-PL	assamilaisissa
sinimailanen	N;ACC-SG	sinimailanen
borneolainen	ADJ;FRML-SG	borneolaisena
naisellinen	ADJ;GEN-SG	naisellisen
voltata	V.PTCP;PASS;PST	voltattu
vatsakalvontakainen	ADJ;PRT-PL	vatsakalvontakaisia
pulloposki	N;AT+ESS-SG	pulloposkella
keritä	V;ACT;PRS;NEG;IMP;NOM-2;NOM-PL	älkää keritkö
kasvishodari	N;PSS-3	kasvishodarinsa
syöksyillä	V;ACT;PST;PRF;NEG;IND;NOM-3;NOM-SG	ei ollut syöksyillyt
käpristellä	V;NFIN;ACT;IN+ESS;NOM-3	käpristelemässä
aineistokoe	N;PRIV-PL	aineistokokeitta
koruommella	V;ACT;PRS;PRF;NEG;POT;NOM-3;NOM-SG	ei liene koruommellut
tunnontarkka	ADJ;GEN-PL	tunnontarkkojen
työteliäs	ADJ;PSS-1;PSS-PL	työteliäämme
