kato	katohia
pāwhara	pāwharatia
hīanga	hīangatia
tāuwhi	tāuwhia
tīkaro	tīkarotia
whakakite	whakakitea
rahoraho	rahorahoa
wehewehe	wehewehea
piki	pikitia
pūremu	pūremutia
tītokotoko	tītokotokona
whakatangitangi	whakatangitangihia
arataki	aratakina
whakatara	whakataraa
tāwai	tāwaia
whiti	whitingia
rangirangi	rangirangia
whakawaireka	whakawairekatia
koara	koaratia
tīhore	tīhorea
whao	whaoa
tanu	tanumia
kopani	kopania
tahitahi	tahitahia
rangahau	rangahaua
meke	mekea
moto	motokia
whakawārea	whakawāreatia
oke	okea
whakaputa	whakaputaina
whakaeraea	whakaeraeatia
pauna	paunatia
tītore	tītorea
koingo	koingotia
mea	meatia
whakatiraha	whakatirahatia
whakatina	whakatinaia
kumu	kumua
hua	huaina
karapoti	karapotia
pōwhiri	pōwhiritia
parani	paranitia
whakatakitaki	whakatakitakina
whakahōnore	whakahōnoretia
panipani	panipania
nanati	nātia
whakamamae	whakamamaetia
whakapai	whakapaingia
whakamau	whakamaua
whakatata	whakatatangia
raka	rakatia
waru	waruhia
whakapuaki	whakapuakina
whai	whāia
komo	komotia
hongi	hongia
whakawātea	whakawāteatia
wawata	wawatatia
raranga	rangaa
tīkoko	tīkokoa
tātāmi	tātāmia
ore	orea
eke	ekengia
totoro	torohia
kōkiri	kōkiritia
ui	uia
tūtuki	tūtukia
whakanoho	whakanohoia
manako	manakotia
taumau	taumautia
patō	patōhia
uru	urua
tau	tauria
rama	ramaa
whakarangatira	whakarangatiratia
mākiri	mākirihia
tō	tōkia
hoki	hokia
hūpeke	hūpeketia
ngote	ngotea
weku	wekua
whakariro	whakariroia
poke	pokea
whakamātautau	whakamātautauria
tūā	tūāina
noho	nohoia
tāwharau	tāwharautia
pupuri	puritia
kawe	kawea
whaiere	whaieretia
whakararu	whakararua
hukihuki	hukihukia
whakatakoto	whakatakotoria
pātai	pātaingia
hahu	hahua
whakaatamira	whakaatamiratia
whare	wharekura
āpuru	āpurua
āwhina	āwhinatia
whakakā	whakakāngia
mahimahi	mahimahia
hihiri	hihiritia
kāwiri	kāwiritia
kōtui	kōtuia
tīhae	tīhaea
tapatapahi	tapatapahia
rore	rorea
kohikohi	kohikohia
whakaae	whakaaetia
kowhete	kowhetetia
kaupare	kauparea
tāmuimui	tāmuimuia
whakatairanga	whakatairangatia
whakaroa	whakaroatia
taunga	taungatia
tuwha	tuwhaia
pōpopo	pōpopotia
mārau	māraua
mōunu	mōunutia
waipuke	waipuketia
tango	tangohia
tapatapa	tapatapaia
whakamine	whakaminea
rārangi	rārangitia
aru	arumia
ātete	ātetetia
nēhi	nēhitia
huihui	huihuia
rongo	rongohia
whakatuwhera	whakatuwheratia
whakapae	whakapaengia
